site_location,bath,balcony,price,bhk,price_per_sqft,new_total_sqft,_site_location
Aundh,1,2,90,2,9000,1000,Aundh
Aundh Road,2,2,59.52,3,4800,1240,Aundh Road
Balaji Nagar,4,2,125,4,20833.33333,600,Balaji Nagar
Baner,2,2,50,2,4061.738424,1231,Baner
Baner road,2,1,120,2,9230.769231,1300,Baner road
Bhandarkar Road,3,2,110,3,6421.482779,1713,Bhandarkar Road
Bhavani Peth,2,1,53.33,2,4444.166667,1200,Bhavani Peth
Bibvewadi,4,2,158,3,5259.653795,3004,Bibvewadi
Bopodi,2,0,46,3,3511.450382,1310,Bopodi
Budhwar Peth,2,1,49.5,2,6265.822785,790,Budhwar Peth
Bund Garden Road,3,1,200,3,11467.88991,1744,Bund Garden Road
Camp,3,2,100,3,6230.529595,1605,Camp
Chandan Nagar,2,2,82,2,6560,1250,Chandan Nagar
Dapodi,3,3,337,3,13610.66236,2476,Dapodi
Deccan Gymkhana,2,2,76,3,6031.746032,1260,Deccan Gymkhana
Dehu Road,3,1,175,3,10835.91331,1615,Dehu Road
Dhankawadi,2,1,56,2,4745.762712,1180,Dhankawadi
Dhayari Phata,2,2,50.19,3,3999.203187,1255,Dhayari Phata
Dhole Patil Road,2,1,53.9,2,5258.536585,1025,Dhole Patil Road
Erandwane,4,2,150,3,7991.475759,1877,Erandwane
Fatima Nagar,3,2,150,3,9096.422074,1649,Fatima Nagar
Fergusson College Road,12,2,675,9,25961.53846,2600,Fergusson College Road
Ganesh Peth,5,2,125,5,5000,2500,Ganesh Peth
Ganeshkhind,3,2,98,3,6355.38262,1542,Ganeshkhind
Ghorpade Peth,2,2,105,2,7404.795487,1418,Ghorpade Peth
Ghorpadi,2,0,42,2,4150.197628,1012,Ghorpadi
Gokhale Nagar,2,1,65,2,5416.666667,1200,Gokhale Nagar
Gultekdi,2,2,43,2,3856.502242,1115,Gultekdi
Guruwar peth,4,3,95,3,5654.761905,1680,Guruwar peth
Hadapsar,2,2,72,2,6148.590948,1171,Hadapsar
Hadapsar Industrial Estate,2,1,68.62,2,6681.596884,1027,Hadapsar Industrial Estate
Hingne Khurd,3,3,75,3,4411.764706,1700,Hingne Khurd
Jangali Maharaj Road,2,2,38.15,2,3500,1090,Jangali Maharaj Road
Kalyani Nagar,2,1,74,2,6006.493506,1232,Kalyani Nagar
Karve Nagar,2,2,28,2,3655.35248,766,Karve Nagar
Karve Road,5,0,180,5,15000,1200,Karve Road
Kasba Peth,1,1,27,1,5142.857143,525,Kasba Peth
Khadaki,2,1,41,3,2823.69146,1452,Khadaki
Khadki,2,1,65,3,5183.413078,1254,Khadki
Kharadi,5,0,110,5,3055.555556,3600,Kharadi
Kondhwa,3,1,118,3,7407.407407,1593,Kondhwa
Kondhwa Budruk,2,2,77.27,2,5796.699175,1333,Kondhwa Budruk
Kondhwa Khurd,3,1,110,3,10000,1100,Kondhwa Khurd
Koregaon Park,2,1,54.99,3,3999.272727,1375,Koregaon Park
Kothrud,3,3,82,3,4969.69697,1650,Kothrud
Law College Road,2,2,51.48,3,3600,1430,Law College Road
Laxmi Road,2,1,54,2,5744.680851,940,Laxmi Road
Lulla Nagar,1,1,21,1,4827.586207,435,Lulla Nagar
Mahatma Gandhi Road,2,2,36.54,2,3150,1160,Mahatma Gandhi Road
Mangalwar peth,2,1,77.5,3,5166.666667,1500,Mangalwar peth
Manik Bagh,2,1,100,3,5291.005291,1890,Manik Bagh
Market yard,2,1,70,2,6666.666667,1050,Market yard
Model colony,6,3,220,6,18333.33333,1200,Model colony
Mukund Nagar,2,2,43,2,4186.952288,1027,Mukund Nagar
Mundhawa,2,2,61.28,3,4098.996656,1495,Mundhawa
Nagar Road,4,2,235,3,7833.333333,3000,Nagar Road
Nana Peth,2,1,95,3,6511.309116,1459,Nana Peth
Narayan Peth,3,3,85.61,3,5003.506721,1711,Narayan Peth
Narayangaon,2,2,98,2,7840,1250,Narayangaon
Navi Peth,1,1,16.45,1,2550.387597,645,Navi Peth
Padmavati,2,1,57,2,6514.285714,875,Padmavati
Parvati Darshan,2,1,67,2,5022.488756,1334,Parvati Darshan
Pashan,2,1,32.92,2,2887.719298,1140,Pashan
Paud Road,2,2,50,2,4484.304933,1115,Paud Road
Pirangut,5,2,200,3,16666.66667,1200,Pirangut
Prabhat Road,3,1,190,3,10698.1982,1776,Prabhat Road
Pune Railway Station,4,2,160,3,7722.007722,2072,Pune Railway Station
Rasta Peth,3,2,170,3,10625,1600,Rasta Peth
Raviwar Peth,4,2,115,6,9583.333333,1200,Raviwar Peth
Sadashiv Peth,2,3,39,2,4239.130435,920,Sadashiv Peth
Sahakar Nagar,2,0,25.29,2,3250.642674,778,Sahakar Nagar
Salunke Vihar,3,3,95,4,7251.908397,1310,Salunke Vihar
Sasson Road,3,2,80,3,4904.966278,1631,Sasson Road
Satara Road,1,1,27.5,1,5238.095238,525,Satara Road
Senapati Bapat Road,3,3,82,3,5878.136201,1395,Senapati Bapat Road
Shaniwar Peth,3,2,105,3,5250,2000,Shaniwar Peth
Shivaji Nagar,2,1,66,2,5357.142857,1232,Shivaji Nagar
Shukrawar Peth,2,1,55,2,5116.27907,1075,Shukrawar Peth
Sinhagad Road,2,2,70,2,5809.128631,1205,Sinhagad Road
Somwar Peth,4,2,165,4,13750,1200,Somwar Peth
Swargate,5,1,129,4,5512.820513,2340,Swargate
Tilak Road,2,1,55,3,4664.970314,1179,Tilak Road
Uruli Devachi,2,1,51,2,5034.550839,1013,Uruli Devachi
Vadgaon Budruk,2,2,40.6,2,3500,1160,Vadgaon Budruk
Viman Nagar,2,2,62.5,2,5208.333333,1200,Viman Nagar
Vishrant Wadi,5,0,80,7,6666.666667,1200,Vishrant Wadi
Wagholi,2,3,50.19,3,3999.203187,1255,Wagholi
Wakadewadi,2,1,145,3,13181.81818,1100,Wakadewadi
Wanowrie,2,1,55,2,5144.995323,1069,Wanowrie
Warje,3,2,99,3,8250,1200,Warje
Yerawada,1,1,285,1,20357.14286,1400,Yerawada
Alandi Road,2,2,55,2,5164.319249,1065,Alandi Road
Ambegaon Budruk,2,0,75,2,5376.344086,1395,Ambegaon Budruk
Anandnagar,2,1,165,3,9565.217391,1725,Anandnagar
Aundh,2,2,43,2,4270.109235,1007,Aundh
Aundh Road,2,2,55,3,3830.083565,1436,Aundh Road
Balaji Nagar,6,3,150,6,3529.411765,4250,Balaji Nagar
Baner,3,2,117,3,7112.462006,1645,Baner
Baner road,2,0,58,2,4833.333333,1200,Baner road
Bhandarkar Road,2,1,43.61,2,4639.361702,940,Bhandarkar Road
Bhavani Peth,6,2,175,6,4069.767442,4300,Bhavani Peth
Bibvewadi,5,3,343,3,12035.08772,2850,Bibvewadi
Bopodi,3,2,191,3,10977.01149,1740,Bopodi
Budhwar Peth,2,2,47,2,3936.348409,1194,Budhwar Peth
Bund Garden Road,3,2,650,3,17282.6376,3761,Bund Garden Road
Camp,3,2,125,3,6834.335703,1829,Camp
Chandan Nagar,4,3,178,4,9888.888889,1800,Chandan Nagar
Dapodi,2,1,60,2,6000,1000,Dapodi
Deccan Gymkhana,3,0,350,3,6118.881119,5720,Deccan Gymkhana
Dehu Road,4,2,98,5,12250,800,Dehu Road
Dhankawadi,1,1,15,2,2222.222222,675,Dhankawadi
Dhayari Phata,2,2,95,2,6834.532374,1390,Dhayari Phata
Dhole Patil Road,3,2,104,3,6933.333333,1500,Dhole Patil Road
Erandwane,3,2,136,3,6643.869077,2047,Erandwane
Fatima Nagar,2,1,79,2,6572.379368,1202,Fatima Nagar
Fergusson College Road,2,1,59,2,5830.039526,1012,Fergusson College Road
Ganesh Peth,3,3,80,3,3752.345216,2132,Ganesh Peth
Ganeshkhind,4,3,340,4,25185.18519,1350,Ganeshkhind
Ghorpade Peth,1,1,40,1,6611.570248,605,Ghorpade Peth
Ghorpadi,2,1,88,2,6611.570248,1331,Ghorpadi
Gokhale Nagar,2,0,69,2,5750,1200,Gokhale Nagar
Gultekdi,2,0,250,2,21739.13043,1150,Gultekdi
Guruwar peth,2,1,136,2,11333.33333,1200,Guruwar peth
Hadapsar,2,0,300,2,16666.66667,1800,Hadapsar
Hadapsar Industrial Estate,2,1,50,3,8333.333333,600,Hadapsar Industrial Estate
Hingne Khurd,2,2,49,3,3828.125,1280,Hingne Khurd
Jangali Maharaj Road,2,1,62,2,6156.901688,1007,Jangali Maharaj Road
Kalyani Nagar,2,1,61,3,4452.554745,1370,Kalyani Nagar
Karve Nagar,2,2,35,2,3783.783784,925,Karve Nagar
Karve Road,2,0,75,2,5000,1500,Karve Road
Kasba Peth,1,1,12.5,1,2777.777778,450,Kasba Peth
Katraj,4,1,140,4,11666.66667,1200,Katraj
Khadaki,2,1,95,2,7084.265474,1341,Khadaki
Khadki,2,2,47.25,3,3500,1350,Khadki
Kharadi,2,1,60,2,6048.387097,992,Kharadi
Kondhwa,2,2,68,2,5846.947549,1163,Kondhwa
Kondhwa Budruk,2,2,70,2,5695.687551,1229,Kondhwa Budruk
Kondhwa Khurd,2,2,39,2,6500,600,Kondhwa Khurd
Koregaon Park,2,1,61.26,2,5025.430681,1219,Koregaon Park
Kothrud,2,2,99.13,3,6500.327869,1525,Kothrud
Law College Road,2,1,60,2,5231.037489,1147,Law College Road
Laxmi Road,2,3,88,3,6232.294618,1412,Laxmi Road
Lulla Nagar,9,3,215,9,17916.66667,1200,Lulla Nagar
Mahatma Gandhi Road,2,1,34.77,2,3330.45977,1044,Mahatma Gandhi Road
Mangalwar peth,2,2,63,2,5294.117647,1190,Mangalwar peth
Manik Bagh,2,2,65,3,5241.935484,1240,Manik Bagh
Market yard,3,1,65,3,4807.692308,1352,Market yard
Model colony,2,2,55,2,5000,1100,Model colony
Mukund Nagar,2,2,39.9,3,3000,1330,Mukund Nagar
Mundhawa,3,2,111,3,6529.411765,1700,Mundhawa
Nagar Road,2,1,67,2,4944.649446,1355,Nagar Road
Nana Peth,2,1,46,2,3833.333333,1200,Nana Peth
Narayan Peth,2,1,25,1,6250,400,Narayan Peth
Narayangaon,2,2,70,2,5216.09538,1342,Narayangaon
Navi Peth,3,2,50.87,3,3149.845201,1615,Navi Peth
Padmavati,2,1,65,2,4850.746269,1340,Padmavati
Parvati Darshan,2,1,54,2,4500,1200,Parvati Darshan
Pashan,1,0,55,1,13750,400,Pashan
Paud Road,2,1,52,2,4814.814815,1080,Paud Road
Pirangut,2,1,31,2,1937.5,1600,Pirangut
Prabhat Road,2,0,34,2,2833.333333,1200,Prabhat Road
Pune Railway Station,3,2,150,3,5555.555556,2700,Pune Railway Station
Rasta Peth,3,0,110,3,6179.775281,1780,Rasta Peth
Raviwar Peth,3,2,65,3,4049.844237,1605,Raviwar Peth
Sadashiv Peth,5,2,1584,4,22000,7200,Sadashiv Peth
Sahakar Nagar,2,1,65,3,10061.9195,646,Sahakar Nagar
Salunke Vihar,2,2,80,2,6666.666667,1200,Salunke Vihar
Sasson Road,2,0,49,2,5444.444444,900,Sasson Road
Satara Road,3,1,88,3,4808.743169,1830,Satara Road
Senapati Bapat Road,4,1,83,5,12028.98551,690,Senapati Bapat Road
Shaniwar Peth,1,3,500,1,76923.07692,650,Shaniwar Peth
Shivaji Nagar,4,1,68,5,3777.777778,1800,Shivaji Nagar
Shukrawar Peth,2,0,32,3,4475.524476,715,Shukrawar Peth
Sinhagad Road,2,2,31.37,3,2550.406504,1230,Sinhagad Road
Somwar Peth,2,1,42.59,2,3999.061033,1065,Somwar Peth
Swargate,8,2,185,8,13703.7037,1350,Swargate
Tilak Road,3,2,149,3,13796.2963,1080,Tilak Road
Uruli Devachi,2,0,65,3,7222.222222,900,Uruli Devachi
Vadgaon Budruk,2,2,45,2,4756.871036,946,Vadgaon Budruk
Wadgaon Sheri,1,0,60,1,4000,1500,Wadgaon Sheri
Viman Nagar,3,1,110,3,6428.988895,1711,Viman Nagar
Vishrant Wadi,3,2,160,4,13333.33333,1200,Vishrant Wadi
Wagholi,2,1,25.65,2,2700,950,Wagholi
Wakadewadi,3,2,80,3,4830.917874,1656,Wakadewadi
Wanowrie,2,1,46.76,2,4349.767442,1075,Wanowrie
Warje,3,2,133,3,7590.804283,1752.12,Warje
Yerawada,8,0,220,8,3666.666667,6000,Yerawada
Alandi Road,3,3,85,3,5519.480519,1540,Alandi Road
Ambegaon Budruk,4,3,125,4,20833.33333,600,Ambegaon Budruk
Anandnagar,1,2,32,1,4812.030075,665,Anandnagar
Aundh,3,2,110,3,6606.606607,1665,Aundh
Aundh Road,2,1,54,2,4716.157205,1145,Aundh Road
Balaji Nagar,2,2,41,2,3459.915612,1185,Balaji Nagar
Baner,3,1,190,3,15833.33333,1200,Baner
Baner road,3,2,125,3,7383.343178,1693,Baner road
Bhandarkar Road,3,3,220,3,8957.654723,2456,Bhandarkar Road
Bhavani Peth,3,2,403,3,15748.33919,2559,Bhavani Peth
Bibvewadi,2,1,40.6,2,3515.151515,1155,Bibvewadi
Bopodi,2,2,64.4,3,4000,1610,Bopodi
Budhwar Peth,3,2,56.58,3,4715,1200,Budhwar Peth
Bund Garden Road,2,1,185,2,12091.50327,1530,Bund Garden Road
Camp,3,1,80,3,4681.100059,1709,Camp
Chandan Nagar,4,0,60,4,10000,600,Chandan Nagar
Dapodi,8,2,290,8,10740.74074,2700,Dapodi
Deccan Gymkhana,1,1,150,1,17857.14286,840,Deccan Gymkhana
Dehu Road,2,1,50,3,3571.428571,1400,Dehu Road
Dhankawadi,2,1,42,2,3500,1200,Dhankawadi
Dhayari Phata,3,1,57.23,3,3977.067408,1439,Dhayari Phata
Dhole Patil Road,2,2,72,2,5236.363636,1375,Dhole Patil Road
Erandwane,5,3,416,5,13913.04348,2990,Erandwane
Fatima Nagar,2,1,75,3,6250,1200,Fatima Nagar
Fergusson College Road,2,3,75,2,5703.422053,1315,Fergusson College Road
Ganesh Peth,2,0,40,2,2666.666667,1500,Ganesh Peth
Ganeshkhind,6,1,200,6,5555.555556,3600,Ganeshkhind
Ghorpade Peth,2,3,82,2,6960.950764,1178,Ghorpade Peth
Ghorpadi,3,2,59,3,4125.874126,1430,Ghorpadi
Gokhale Nagar,2,2,65.8,3,4700,1400,Gokhale Nagar
Gultekdi,2,2,72,2,6587.374199,1093,Gultekdi
Guruwar peth,2,1,45,2,3750,1200,Guruwar peth
Hadapsar,6,1,360,5,7200,5000,Hadapsar
Hadapsar Industrial Estate,2,0,130,3,10833.33333,1200,Hadapsar Industrial Estate
Hingne Khurd,3,2,156,3,7058.823529,2210,Hingne Khurd
Jangali Maharaj Road,2,2,70,2,6086.956522,1150,Jangali Maharaj Road
Kalyani Nagar,2,1,60,3,4181.184669,1435,Kalyani Nagar
Karve Nagar,3,2,100,4,16666.66667,600,Karve Nagar
Karve Road,2,1,78.2,2,6666.666667,1173,Karve Road
Kasba Peth,2,1,39,2,3421.052632,1140,Kasba Peth
Katraj,3,3,120,3,6988.934188,1717,Katraj
Khadaki,2,2,65,2,4905.660377,1325,Khadaki
Khadki,3,2,67,3,4890.510949,1370,Khadki
Kharadi,2,1,90,2,8780.487805,1025,Kharadi
Kondhwa,2,3,62,3,4400.283889,1409,Kondhwa
Kondhwa Budruk,2,1,52,2,4333.333333,1200,Kondhwa Budruk
Kondhwa Khurd,2,1,53.5,2,4458.333333,1200,Kondhwa Khurd
Koregaon Park,4,3,130,3,7471.264368,1740,Koregaon Park
Kothrud,2,1,88,2,7142.857143,1232,Kothrud
Law College Road,2,1,36,2,3000,1200,Law College Road
Laxmi Road,4,3,625,4,10550.30385,5924,Laxmi Road
Lulla Nagar,2,1,50,2,4000,1250,Lulla Nagar
Mahatma Gandhi Road,2,2,171,2,11593.22034,1475,Mahatma Gandhi Road
Mangalwar peth,4,2,85,4,4047.619048,2100,Mangalwar peth
Manik Bagh,1,1,23.5,1,4257.246377,552,Manik Bagh
Market yard,2,2,42.59,3,3999.061033,1065,Market yard
Model colony,3,1,130,3,13000,1000,Model colony
Mukund Nagar,2,0,65,2,5306.122449,1225,Mukund Nagar
Mundhawa,1,0,16,1,2461.538462,650,Mundhawa
Nagar Road,2,2,52,2,4873.477038,1067,Nagar Road
Nana Peth,2,2,56,3,4105.571848,1364,Nana Peth
Narayan Peth,3,3,75,3,4285.714286,1750,Narayan Peth
Narayangaon,2,1,71,2,5725.806452,1240,Narayangaon
Navi Peth,2,0,75,2,6250,1200,Navi Peth
Padmavati,3,2,75,3,4870.12987,1540,Padmavati
Parvati Darshan,2,2,102,3,6781.914894,1504,Parvati Darshan
Pashan,2,1,49.8,2,4462.365591,1116,Pashan
Paud Road,4,2,175,3,7399.577167,2365,Paud Road
Pirangut,2,2,37,2,2828.746177,1308,Pirangut
Prabhat Road,2,0,45,2,5208.333333,864,Prabhat Road
Pune Railway Station,5,1,139,5,11583.33333,1200,Pune Railway Station
Rasta Peth,2,2,38,3,3554.724041,1069,Rasta Peth
Raviwar Peth,2,1,100,2,7501.875469,1333,Raviwar Peth
Sadashiv Peth,4,1,145,4,8055.555556,1800,Sadashiv Peth
Sahakar Nagar,4,2,550,4,8963.494133,6136,Sahakar Nagar
Salunke Vihar,3,2,107,3,6301.531213,1698,Salunke Vihar
Sasson Road,2,2,43.6,3,3419.607843,1275,Sasson Road
Satara Road,2,1,48,2,4528.301887,1060,Satara Road
Senapati Bapat Road,2,1,49,2,4224.137931,1160,Senapati Bapat Road
Shaniwar Peth,2,2,65,3,4380.053908,1484,Shaniwar Peth
Shivaji Nagar,3,1,70,3,10370.37037,675,Shivaji Nagar
Shukrawar Peth,5,2,325,3,27083.33333,1200,Shukrawar Peth
Sinhagad Road,2,1,66,2,5038.167939,1310,Sinhagad Road
Somwar Peth,6,1,370,6,20487.26467,1806,Somwar Peth
Swargate,4,2,240,4,8000,3000,Swargate
Tilak Road,3,2,165,3,7692.307692,2145,Tilak Road
Uruli Devachi,3,1,125,3,7383.343178,1693,Uruli Devachi
Vadgaon Budruk,3,3,60,3,4878.04878,1230,Vadgaon Budruk
Wadgaon Sheri,3,1,145,3,12083.33333,1200,Wadgaon Sheri
Viman Nagar,2,1,37.83,3,2887.78626,1310,Viman Nagar
Vishrant Wadi,2,1,60,2,5217.391304,1150,Vishrant Wadi
Wagholi,2,2,66.5,3,4801.444043,1385,Wagholi
Wakadewadi,2,2,52.5,2,4924.953096,1066,Wakadewadi
Wanowrie,3,2,80.26,3,3500.218055,2293,Wanowrie
Warje,3,1,81,3,11250,720,Warje
Yerawada,3,3,92,3,5661.538462,1625,Yerawada
Alandi Road,2,1,67.4,2,5409.309791,1246,Alandi Road
Ambegaon Budruk,6,1,252,4,12000,2100,Ambegaon Budruk
Anandnagar,4,3,250,4,10416.66667,2400,Anandnagar
Aundh,6,2,195,6,5000,3900,Aundh
Aundh Road,2,1,70.65,2,7065,1000,Aundh Road
Balaji Nagar,2,2,38,2,4189.636163,907,Balaji Nagar
Baner,4,0,138,4,3942.857143,3500,Baner
Baner road,2,3,79,3,5663.082437,1395,Baner road
Bhandarkar Road,2,2,50,2,4237.288136,1180,Bhandarkar Road
Bhavani Peth,6,2,140,5,7356.805045,1903,Bhavani Peth
Bibvewadi,2,1,47,2,4000,1175,Bibvewadi
Bopodi,2,2,51.5,2,4048.742138,1272,Bopodi
Budhwar Peth,2,1,92,3,6174.496644,1490,Budhwar Peth
Bund Garden Road,2,2,67,2,5856.643357,1144,Bund Garden Road
Camp,5,2,140,4,5833.333333,2400,Camp
Chandan Nagar,2,1,53,2,4636.920385,1143,Chandan Nagar
Dapodi,3,2,190,3,7600,2500,Dapodi
Deccan Gymkhana,2,1,75,2,6167.763158,1216,Deccan Gymkhana
Dehu Road,2,1,60,2,5747.126437,1044,Dehu Road
Dhankawadi,3,1,93,2,6878.698225,1352,Dhankawadi
Dhayari Phata,3,3,75,3,4832.474227,1552,Dhayari Phata
Dhole Patil Road,3,2,120,3,6722.689076,1785,Dhole Patil Road
Erandwane,2,2,34.5,2,4259.259259,810,Erandwane
Fatima Nagar,3,2,51.98,3,3150.30303,1650,Fatima Nagar
Fergusson College Road,3,2,70.39,3,4413.166144,1595,Fergusson College Road
Ganesh Peth,2,1,35,2,3301.886792,1060,Ganesh Peth
Ganeshkhind,2,3,65,3,4609.929078,1410,Ganeshkhind
Ghorpade Peth,2,2,56,3,3676.953381,1523,Ghorpade Peth
Ghorpadi,3,1,122,3,7668.13325,1591,Ghorpadi
Gokhale Nagar,3,3,84,3,5121.95122,1640,Gokhale Nagar
Gultekdi,1,0,16,1,3555.555556,450,Gultekdi
Guruwar peth,2,2,60,3,4597.701149,1305,Guruwar peth
Hadapsar,3,1,54,3,3396.226415,1590,Hadapsar
Hadapsar Industrial Estate,2,3,45,2,3629.032258,1240,Hadapsar Industrial Estate
Hingne Khurd,2,2,54,2,4500,1200,Hingne Khurd
Jangali Maharaj Road,2,1,41.16,2,3741.818182,1100,Jangali Maharaj Road
Kalyani Nagar,2,1,128,2,10847.45763,1180,Kalyani Nagar
Karve Nagar,2,1,50,2,4484.304933,1115,Karve Nagar
Karve Road,2,1,33,2,3905.325444,845,Karve Road
Kasba Peth,2,0,190,3,12123.53241,1567.2,Kasba Peth
Katraj,2,2,45,3,3435.114504,1310,Katraj
Khadaki,1,0,150,1,573.9210285,26136,Khadaki
Khadki,2,1,42.5,2,4431.699687,959,Khadki
Kharadi,4,1,140,4,11666.66667,1200,Kharadi
Kondhwa,2,1,37,2,4190.260476,883,Kondhwa
Kondhwa Budruk,2,2,55.5,2,5285.714286,1050,Kondhwa Budruk
Kondhwa Khurd,2,2,70.21,2,5051.079137,1390,Kondhwa Khurd
Kothrud,2,2,69,3,5390.625,1280,Kothrud
Law College Road,5,3,150,7,11718.75,1280,Law College Road
Laxmi Road,3,2,95,3,5885.997522,1614,Laxmi Road
Lulla Nagar,2,0,58,2,5800,1000,Lulla Nagar
Mahatma Gandhi Road,2,2,57.9,2,4841.137124,1196,Mahatma Gandhi Road
Mangalwar peth,3,2,57,3,4672.131148,1220,Mangalwar peth
Manik Bagh,2,1,31.95,2,3363.157895,950,Manik Bagh
Market yard,8,2,325,9,13541.66667,2400,Market yard
Model colony,2,1,55,2,4820.333041,1141,Model colony
Mukund Nagar,2,2,51,2,4250,1200,Mukund Nagar
Mundhawa,2,2,55,3,3985.507246,1380,Mundhawa
Nagar Road,2,1,32,2,3742.690058,855,Nagar Road
Nana Peth,1,1,16.45,1,2550.387597,645,Nana Peth
Narayan Peth,2,1,36,2,3904.555315,922,Narayan Peth
Narayangaon,2,2,43.2,2,3600,1200,Narayangaon
Navi Peth,2,2,65,3,5241.935484,1240,Navi Peth
Padmavati,2,2,42,2,3925.233645,1070,Padmavati
Parvati Darshan,2,2,75,2,5800.464037,1293,Parvati Darshan
Pashan,2,1,50,3,3623.188406,1380,Pashan
Paud Road,3,2,80,3,5003.126954,1599,Paud Road
Pirangut,2,2,41.1,2,4250.258532,967,Pirangut
Prabhat Road,3,3,90,3,4774.535809,1885,Prabhat Road
Pune Railway Station,2,2,65.5,2,7616.27907,860,Pune Railway Station
Rasta Peth,1,0,19.5,1,1813.953488,1075,Rasta Peth
Raviwar Peth,2,1,63.5,2,6047.619048,1050,Raviwar Peth
Sadashiv Peth,3,2,88,3,5517.241379,1595,Sadashiv Peth
Sahakar Nagar,2,2,102,2,7555.555556,1350,Sahakar Nagar
Salunke Vihar,2,2,45,2,3737.541528,1204,Salunke Vihar
Sasson Road,4,2,240,4,8026.755853,2990,Sasson Road
Satara Road,2,2,49,2,4734.299517,1035,Satara Road
Senapati Bapat Road,2,1,29.95,2,2995,1000,Senapati Bapat Road
Shaniwar Peth,3,3,85,3,5833.905285,1457,Shaniwar Peth
Shivaji Nagar,2,2,47,2,3936.348409,1194,Shivaji Nagar
Shukrawar Peth,2,1,66,2,6000,1100,Shukrawar Peth
Sinhagad Road,3,3,120,3,7250.755287,1655,Sinhagad Road
Somwar Peth,3,1,115,3,6799.905393,1691.2,Somwar Peth
Swargate,2,1,46.1,2,3794.238683,1215,Swargate
Tilak Road,2,0,50.125,2,4339.82684,1155,Tilak Road
Uruli Devachi,3,2,129,3,7870.652837,1639,Uruli Devachi
Vadgaon Budruk,3,1,135,3,8011.869436,1685,Vadgaon Budruk
Wadgaon Sheri,4,2,180,5,17857.14286,1008,Wadgaon Sheri
Viman Nagar,2,3,38,2,3454.545455,1100,Viman Nagar
Vishrant Wadi,3,2,125,3,5890.66918,2122,Vishrant Wadi
Wagholi,2,2,47,2,4476.190476,1050,Wagholi
Wakadewadi,2,2,45,2,3658.536585,1230,Wakadewadi
Wanowrie,3,2,60,3,4838.709677,1240,Wanowrie
Warje,2,3,65,3,5191.693291,1252,Warje
Yerawada,2,2,88,3,6404.657933,1374,Yerawada
Alandi Road,1,1,30,1,6000,500,Alandi Road
Ambegaon Budruk,8,2,225,8,18750,1200,Ambegaon Budruk
Anandnagar,3,2,83.87,3,6189.667897,1355,Anandnagar
Aundh,2,3,45,2,4326.923077,1040,Aundh
Aundh Road,2,2,68,2,5037.037037,1350,Aundh Road
Balaji Nagar,6,3,300,4,7494.379216,4003,Balaji Nagar
Baner,3,2,135,3,5625,2400,Baner
Baner road,3,1,90,3,5769.230769,1560,Baner road
Bhandarkar Road,2,1,43.16,2,3749.782798,1151,Bhandarkar Road
Bhavani Peth,2,2,47.59,3,3499.264706,1360,Bhavani Peth
Bibvewadi,2,2,60,2,4800,1250,Bibvewadi
Bopodi,2,2,29.97,3,2700,1110,Bopodi
Budhwar Peth,2,2,50,2,4926.108374,1015,Budhwar Peth
Bund Garden Road,2,2,78,3,5773.50111,1351,Bund Garden Road
Camp,2,2,50,2,5208.333333,960,Camp
Chandan Nagar,2,2,52,2,4684.684685,1110,Chandan Nagar
Dapodi,3,2,72,3,4285.714286,1680,Dapodi
Deccan Gymkhana,3,1,180,3,7500,2400,Deccan Gymkhana
Dehu Road,5,3,2000,4,18181.81818,11000,Dehu Road
Dhankawadi,3,2,48.6,3,3600,1350,Dhankawadi
Dhayari Phata,2,2,47,2,3748.00638,1254,Dhayari Phata
Dhole Patil Road,3,2,115,3,9163.346614,1255,Dhole Patil Road
Erandwane,2,3,61,2,5803.996194,1051,Erandwane
Fatima Nagar,3,1,205,3,17083.33333,1200,Fatima Nagar
Fergusson College Road,2,2,65,2,5914.467698,1099,Fergusson College Road
Ganesh Peth,4,3,199,3,7509.433962,2650,Ganesh Peth
Ganeshkhind,2,1,160,4,8000,2000,Ganeshkhind
Ghorpade Peth,2,2,130,2,8436.080467,1541,Ghorpade Peth
Ghorpadi,3,2,70,3,5833.333333,1200,Ghorpadi
Gokhale Nagar,2,2,45,2,4000,1125,Gokhale Nagar
Gultekdi,3,2,85,3,5151.515152,1650,Gultekdi
Guruwar peth,1,1,62,1,7434.052758,834,Guruwar peth
Hadapsar,3,2,60,3,4545.454545,1320,Hadapsar
Hadapsar Industrial Estate,3,1,149,3,12416.66667,1200,Hadapsar Industrial Estate
Hingne Khurd,7,0,160,8,16000,1000,Hingne Khurd
Jangali Maharaj Road,3,2,74,3,4933.333333,1500,Jangali Maharaj Road
Kalyani Nagar,5,2,500,4,11363.63636,4400,Kalyani Nagar
Karve Road,1,0,52,1,8666.666667,600,Karve Road
Kasba Peth,2,2,70,2,5932.20339,1180,Kasba Peth
Katraj,2,1,50,2,4950.49505,1010,Katraj
Khadaki,2,1,38,2,3551.401869,1070,Khadaki
Khadki,3,3,105,3,6645.56962,1580,Khadki
Kharadi,5,2,325,4,27083.33333,1200,Kharadi
Kondhwa,3,2,165,3,8250,2000,Kondhwa
Kondhwa Budruk,3,2,130,3,6770.833333,1920,Kondhwa Budruk
Kondhwa Khurd,2,1,76,3,6333.333333,1200,Kondhwa Khurd
Koregaon Park,2,2,45,2,4326.923077,1040,Koregaon Park
Kothrud,2,2,90,3,6293.706294,1430,Kothrud
